Objra,Objdec,mangaid,plateifu
194.523423939,29.0173526307,    1-404249 ,  8935-12701 
298.03371,27.752152,  7-18517934 ,  9118-12701 
332.602089837,11.7130772993,    1-114955 ,  7977-12701 
126.910629852,21.2568547334,    1-412866 ,  9494-12701 
77.621562,49.421073,  7-26306340 ,  8705-12701 
253.25481,11.392872, 3-148518224 ,  9680-12701 
146.701429799,31.7195786864,    1-389685 ,  8150-12701 
122.522873301,46.1930252145,     1-44618 ,  9487-12701 
215.395282581,40.3580862721,    1-251762 ,  8335-12701 
182.285219476,35.6358062312,    1-419427 ,  8554-12701 
233.319217849,48.119650849,    1-209191 ,  8485-12701 
290.1385,37.836674,  3-11903469 ,  8560-12701 
194.898779,27.959268,        50-2 ,  8480-12701 
276.66888,3.4531098,  7-16176242 ,  9801-12701 
112.69868022,46.0101157292,    1-377978 ,  8134-12701 
45.43511,-0.59263,    1-603920 ,  8154-12701 
288.19595,-1.0336462,  3-68767013 ,  9116-12701 
258.06986,58.343061, 3-160101350 ,  9071-12701 
240.1989,5.3800656, 3-139221724 ,  9807-12701 
226.431661417,44.4049023746,    1-321739 ,  8552-12701 
207.41891,33.2716, 3-137764448 ,  9730-12701 
215.91885,50.70391, 3-149936060 ,  9063-12701 
50.5013985806,-0.807105203712,     1-38380 ,  8083-12701 
40.24027,52.188532,  7-23849426 ,  8811-12701 
245.441960986,25.82067799,    1-296190 ,  9047-12701 
332.60874,40.882668,  3-67261052 ,  8679-12701 
206.11454,0.40303577, 3-113231244 ,  9684-12701 
150.26776,26.346395,   7-6406385 ,  9663-12701 
291.42849,-0.20085398,  7-17630570 ,  9126-12701 
139.193150453,42.5067799907,    1-558248 ,  8250-12701 
109.63988,1.6225222, 3-142655844 ,  9530-12701 
194.634485129,28.3779606067,    1-456850 ,  9876-12701 
288.25475,45.975593,  7-17119460 ,  8672-12701 
117.216794454,17.3562665374,    1-382648 ,  9492-12701 
163.29516,-3.82573,   7-7544348 ,  8922-12701 
283.31111,-10.313377,  7-17037366 ,  9686-12701 
203.730622609,31.3935143722,    1-421314 ,  8985-12701 
283.56699,40.184194,  7-16875831 ,  9127-12701 
318.69028,32.4285,  3-57894131 ,  9123-12701 
13.16944,63.5099,      27-817 ,  8035-12701 
225.51833,35.737917,  7-11872850 ,  9687-12701 
245.842283311,39.2153351541,    1-210866 ,  8312-12701 
150.26776,26.346395,   7-6406385 ,  9669-12701 
223.339689055,43.0759085177,    1-236018 ,  8980-12701 
171.027093421,48.6962967467,    1-614456 ,  8947-12701 
138.844792279,27.2866441561,    1-387106 ,  9505-12701 
263.150147507,56.8452564886,     1-24414 ,  7990-12701 
57.7295749472,-7.06064700684,     1-51939 ,  8728-12701 
270.09856,-9.0487247,     3-24698 ,  8638-12701 
128.687740769,52.7156862498,     1-46562 ,  8243-12701 
119.708713628,25.7462565372,    1-163887 ,  8940-12701 
66.696408,40.275589,  7-25722369 ,  8704-12701 
172.051190682,21.9968427778,    1-614850 ,  8338-12701 
125.87444,27.13638,    1-584931 ,  9510-12701 
82.890311,-0.006385333,  3-50519973 ,  9473-12701 
140.26901,47.993668, 3-150067470 ,  9692-12701 
84.121219,-2.5967321,  3-53010368 ,  8894-12701 
196.370375041,33.8487234632,    1-591379 ,  8323-12701 
258.49431,57.337498,  7-14491705 ,  9007-12701 
315.533514754,11.0751131018,    1-113322 ,  7972-12701 
64.668943,59.707906,   3-6891804 ,  8680-12701 
40.48543,51.94827,      27-954 ,  8038-12701 
190.25436,-2.5908751, 3-109364758 ,  9013-12701 
52.311554,0.55609518,  3-92831245 ,  9520-12701 
132.04263,10.997349, 3-135046180 ,  8974-12701 
334.92969,49.31171,  3-54880716 ,  9535-12701 
83.040403,-0.023838249,  3-50026914 ,  9474-12701 
164.863945676,46.1223895832,    1-612080 ,  8993-12701 
244.188130185,48.6003204386,     1-92487 ,  8483-12701 
63.662892,26.688396,  7-25455882 ,  9258-12701 
69.397005,23.45679,  7-25782474 ,  9288-12701 
221.55778,-7.609965, 3-115399085 ,  9015-12701 
103.05833,23.83754,     27-1719 ,  8049-12701 
232.433422253,27.1119839323,    1-375129 ,  9042-12701 
235.475823161,28.1339793885,    1-593975 ,  9888-12701 
345.54436,58.89172,      27-205 ,  7999-12701 
208.289083232,51.8125009315,    1-196597 ,  8309-12701 
288.30811,45.744375,  7-17130193 ,  8671-12701 
294.91621,42.467224,  3-12474574 , 10010-12701 
244.646495589,29.8173161507,    1-269031 ,  9025-12701 
257.752216191,56.9353408648,    1-595027 ,  7991-12701 
276.84739,3.0635385,  3-44057739 ,  9120-12701 
213.715304729,50.4023245503,    1-197186 ,  9864-12701 
216.59388,49.581463,  7-10930128 ,  9005-12701 
230.108412527,43.0484305988,    1-322308 ,  9870-12701 
322.35444,58.551889,  7-20649429 ,  9292-12701 
164.585191631,40.7882342626,    1-277691 ,  8274-12701 
281.30875,-24.448852,  3-94682034 ,  9075-12701 
171.159777594,52.5334256699,    1-149610 ,  8996-12701 
120.1396474,47.5097756564,     1-44801 ,  8719-12701 
285.02483,39.158432,   3-7437460 ,  8676-12701 
273.67403,-5.6570477,  3-54539335 ,  9113-12701 
165.40834058,50.8322152847,    1-149054 ,  8948-12701 
272.77856,-4.3048689,  3-51030457 ,  9114-12701 
110.517196768,42.4213792365,    1-547999 ,  8132-12701 
313.26059,56.099432,  3-18594665 ,  9124-12701 
119.657109462,37.4830883777,     1-71869 ,  9485-12701 
236.761272589,54.340901023,     1-90807 ,  8481-12701 
119.633813077,52.5979639759,    1-379196 ,  8716-12701 
228.91250272,31.9422487555,    1-559109 ,  9039-12701 
199.60876231,47.2231656037,    1-285095 ,  8319-12701 
36.260884,60.116014,  7-23392507 ,  9245-12701 
296.69525,46.060581,  3-12486091 ,  9023-12701 
312.34894,64.034685,  3-11703996 ,  8698-12701 
136.156282887,44.874731539,    1-155337 ,  8249-12701 
158.16622,40.035264, 3-138266586 ,  9516-12701 
294.7314,10.84873,  7-17855324 ,  9294-12701 
117.146319291,30.1543656985,    1-152770 ,  8937-12701 
177.64805,1.63101,     27-1854 ,  8052-12701 
208.93668,33.578415, 3-138991995 ,  9683-12701 
289.832,38.331298,  3-11359416 ,  9133-12701 
13.28825,38.47773,     4-15415 ,  8114-12701 
222.08979,-8.1705934, 3-115398787 ,  8923-12701 
177.64805,1.63101,     27-1854 ,  8051-12701 
83.66665,31.5715,     27-1509 ,  8045-12701 
119.182151794,44.8567085266,     1-44303 ,  8718-12701 
314.35723,54.04663,  3-22124548 ,  9299-12701 
223.29071,-8.1522001, 3-115827066 ,  8968-12701 
164.585191631,40.7882342626,    1-277691 ,  8256-12701 
124.706752189,22.9545343893,    1-383997 ,  8939-12701 
75.15883,21.36053,     27-1597 ,  8047-12701 
119.25776011,49.5673728539,    1-351614 ,  8567-12701 
93.97637,45.01735,       4-899 ,  8102-12701 
53.1714636534,-1.18362587541,     1-38550 ,  8155-12701 
350.91166,51.459376,  3-70619613 ,  9303-12701 
2.6717742,84.629504,    7-125963 ,  9083-12701 
213.416820051,43.8665647606,    1-266039 ,  8329-12701 
280.8151,-25.241924,  3-94965327 ,  9074-12701 
224.09573,22.517986, 3-141260989 ,  8914-12701 
249.074530943,44.1357161764,     1-93793 ,  9026-12701 
208.30132,31.77478, 3-137269326 ,  9544-12701 
113.31637,4.076561,   7-2479723 ,  9532-12701 
123.265370207,24.5669929863,    1-298640 ,  9509-12701 
51.786077,50.148272,  7-24628041 ,  9662-12701 
140.50024,48.604807, 3-150190852 ,  9727-12701 
221.910822442,32.6023635164,    1-373066 ,  9024-12701 
166.129407835,42.6245544187,    1-558912 ,  8451-12701 
192.14761,41.926621, 3-131718032 ,  8796-12701 
320.50651,6.7845037,  3-97048530 ,  9119-12701 
82.750523,10.514411,  7-26938722 ,  8883-12701 
69.64929,33.01596,     27-1367 ,  8043-12701 
322.94947,-1.03917,    1-180513 ,  7968-12701 
270.29177,-9.3954823,  3-56003285 ,  8667-12701 
255.523308836,31.7974291468,    1-176644 ,  9883-12701 
67.12008,1.2691925,  3-71693697 ,  8773-12701 
164.81152,10.607569, 3-113585382 ,  8928-12701 
47.1188191875,0.387563534541,     1-37640 ,  8080-12701 
86.20605,-1.062794,  3-47422548 ,  8893-12701 
314.60971,0.18089,    1-179247 ,  7964-12701 
165.1554,10.365826,   7-7806641 ,  9065-12701 
78.670765,24.733812,  3-15756416 ,  8815-12701 
144.787792386,45.3708428044,    1-217480 ,  8458-12701 
125.5841,-0.79347702,   7-4206718 ,  8925-12701 
257.138837223,31.8056435337,    1-177626 ,  7960-12701 
6.490056,55.765971,  7-24742323 ,  8703-12701 
208.30132,31.77478, 3-137269326 ,  8912-12701 
147.37898128,42.1302903462,    1-166739 ,  8459-12701 
283.62231,-9.198297,  7-16941707 ,  9111-12701 
286.30208,42.78024,      4-4746 ,  8104-12701 
84.464683,-0.24822958,  3-48500362 ,  9472-12701 
115.86227,65.102665, 3-158878473 ,  9539-12701 
1.9058783,1.0557624, 3-105895429 ,  9243-12701 
328.55522,54.011825,  3-38050135 ,  8692-12701 
280.5292,-25.83134,  3-95245591 ,  9073-12701 
171.898080923,47.3793949684,    1-588617 ,  8945-12701 
119.944238587,18.4017932251,    1-382817 ,  9491-12701 
62.564011,22.733066,  3-41017058 ,  8779-12701 
50.468952,63.585376,  7-24414477 ,  8810-12701 
83.014312,10.01108,  3-31934709 ,  8881-12701 
117.215199698,36.3903606314,    1-604835 ,  8717-12701 
4.9488672,84.616232,   3-3245877 ,  9069-12701 
12.38328,63.38969,      27-841 ,  8036-12701 
116.331122122,33.9423381978,     1-71281 ,  8977-12701 
241.09814,5.0177697, 3-139451637 ,  8640-12701 
204.57951601,26.1984249967,   12-192120 ,  7495-12701 
281.52752,48.134887,  7-16687142 ,  8669-12701 
137.92922,21.347824, 3-139242410 ,  8813-12701 
246.619645509,24.0257332973,    1-295190 ,  9049-12701 
143.23713,48.424792,   7-5698452 ,  9670-12701 
234.032891247,56.3653633297,     1-90986 ,  8553-12701 
156.428889515,37.4975251064,    1-392976 ,  8568-12701 
198.82489,71.518121,   7-9499356 ,  9067-12701 
244.298422082,49.9643976441,    1-542375 ,  8482-12701 
7.190328,57.410509,  7-24753271 ,  8702-12701 
355.1848,40.013259,  7-23508787 ,  9260-12701 
208.48871,32.640282,  7-10350676 ,  9778-12701 
91.718594,-5.846328,  7-28034058 ,  8909-12701 
27.8864427766,12.6996000839,     1-42680 ,  9195-12701 
270.20537,-8.433028,  7-15760350 ,  9857-12701 
83.112468,-0.1894,  3-50520426 ,  9471-12701 
225.92894,22.414166,  7-11665996 ,  8915-12701 
206.13123,-0.8482,     4-21098 ,  8267-12701 
176.05495,2.2296155, 3-109278902 ,  8930-12701 
208.054735019,39.5014764476,    1-260733 ,  8447-12701 
118.359600724,50.2284207566,    1-548157 ,  8715-12701 
226.72184,66.31856,     4-16327 ,  8271-12701 
277.32761,2.8087475,  3-45209930 ,  8708-12701 
233.652894129,43.0392570397,    1-199210 ,  9037-12701 
192.24405,42.087939, 3-132049281 ,  8797-12701 
4.522283,67.426816,    7-212871 ,  8700-12701 
132.10413,23.83727,    1-605487 ,  9500-12701 
59.345642,10.449005,  7-24928356 ,  8686-12701 
292.91127,46.713284,  7-17866346 ,  8674-12701 
161.98005,-3.588134,   7-7481674 ,  8921-12701 
102.60433,24.84567,      4-2020 ,  8103-12701 
239.4918,41.792591,    1-247977 ,  8313-12701 
57.238721,22.80831,  3-49507958 ,  8888-12701 
77.871604,23.940063,  7-26712767 ,  9671-12701 
223.89798,22.01323,  7-11296565 ,  9980-12701 
91.93882,43.92409,      4-1645 ,  8101-12701 
225.72458,35.484133,  7-11694804 ,  9772-12701 
224.25536,21.245867,  7-11327163 ,  9010-12701 
311.401730212,0.510493860872,    1-178812 ,  8623-12701 
117.01332252,28.0282684125,    1-201353 ,  8145-12701 
16.247679,3.4959087, 3-104474429 ,  8661-12701 
321.73843,11.66291,     4-11924 ,  8122-12701 
256.87409035,35.9242908278,    1-546816 ,  7957-12701 
230.621568762,27.7076345533,    1-632513 ,  9043-12701 
79.33047,24.86596,     4-14476 ,  8119-12701 
164.48783,48.230715, 3-141269006 ,  9805-12701 
103.07534,-1.880694,    7-324479 ,  9467-12701 
143.23713,48.424792,   7-5698452 ,  9534-12701 
131.98578,11.732168, 3-135635704 ,  8975-12701 
60.19255,36.18575,     27-1321 ,  8042-12701 
184.82728608,43.2368560313,    1-282509 ,  8262-12701 
127.06768,-0.83525398,   7-4267658 ,  8794-12701 
284.43277,44.80417,   3-5169101 ,  9860-12701 
155.40733,15.26912,     4-13566 ,  8120-12701 
319.38957509,-0.134736114396,    1-179900 ,  8615-12701 
84.141737,-2.0319152,  3-52007836 ,  8895-12701 
238.26846,43.68385,    1-594082 ,  9036-12701 
83.035782,11.276404,  7-26738536 ,  8880-12701 
190.62075,-2.9331159, 3-109364630 ,  8916-12701 
175.96285,34.454913,   7-8302390 ,  8798-12701 
87.838623,9.5698294,  3-25642530 ,  9482-12701 
340.83623,45.846928,  7-22533157 ,  9301-12701 
125.697648008,17.3308856479,    1-460305 ,  8241-12701 
164.54979,10.999012,   7-7461254 ,  9064-12701 
138.275133843,43.0134634139,    1-217256 ,  8247-12701 
287.54156,-1.7827182,  3-68758455 ,  9977-12701 
128.250742039,26.0140506945,    1-298752 ,  9507-12701 
291.53643,1.559965,  7-17532041 ,  8695-12701 
243.24994,50.331245, 3-156746440 ,  8966-12701 
131.33776,10.99688,      4-3329 ,  8115-12701 
176.98634,0.49226998,     4-19845 ,  8265-12701 
252.938352205,62.4643460042,    1-634238 ,  7992-12701 
282.28347,42.459305,  7-16547246 ,  8673-12701 
161.169643329,44.0661435706,    1-275354 ,  8254-12701 
222.848380537,51.4761226141,    1-246442 ,  8592-12701 
57.1300701239,-0.920530281955,    1-289993 ,  8086-12701 
113.73812,66.271711, 3-159193437 ,  9515-12701 
231.205309356,42.1725581055,    1-322161 ,  9872-12701 
160.01311,24.94945,   7-7382171 ,  8889-12701 
241.913639345,23.4168660273,    1-376413 ,  9095-12701 
81.008764,11.181086,  3-32991102 ,  8886-12701 
208.93668,33.578415, 3-138991995 ,  9777-12701 
82.8839,-0.78997252,  3-51508617 ,  9475-12701 
245.362216361,42.76129006,    1-134760 ,  8555-12701 
338.55654,66.206053,  3-23593772 ,  9262-12701 
145.11514,56.07021, 3-151679153 ,  9689-12701 
24.637502,32.040126,  3-82836230 ,  9291-12701 
101.77037,-5.4343298, 3-142509373 ,  8907-12701 
11.658892,42.200442,       52-25 ,  9678-12701 
231.980226647,45.6753310749,    1-569130 ,  8551-12701 
204.68383155,26.3285381656,    1-626830 ,  8952-12701 
297.28262,41.71189,      4-6071 ,  8109-12701 
199.86007,71.110675,   7-9474947 ,  8913-12701 
321.782,50.52432,      27-181 ,  7996-12701 
206.13123,-0.8482,     4-21098 ,  8581-12701 
60.4538112951,-5.69341275417,    1-604231 ,  8158-12701 
321.2944,11.25861,     4-12646 ,  8121-12701 
121.241758658,19.3137174702,    1-382729 ,  9490-12701 
71.779895,32.341433,  3-15068751 ,  8666-12701 
195.04559,27.980153,        50-1 ,  8953-12701 
56.765213,68.132114,       51-47 ,  9675-12701 
82.911935,9.930105,  7-26817123 ,  8884-12701 
225.1172,37.063188,  7-11773785 ,  9658-12701 
196.611052618,45.2889996883,    1-259650 ,  8318-12701 
170.678746873,22.2607085632,    1-489846 ,  8450-12701 
141.42497,28.44811,      4-2957 ,  8100-12701 
142.11198,56.408239,   7-5855974 ,  9540-12701 
