Objra,Objdec,mangaid,plateifu
247.142439679,39.4185891599,    1-210748 ,   8550-1902 
132.465646765,57.1437279024,     1-48111 ,  10001-3701 
241.799551053,48.5725625102,     1-92626 ,   8482-9101 
193.54196,43.266985,   7-9150970 ,   8797-3702 
208.76943,31.736437, 3-137518774 ,  9544-12702 
145.53923,54.786786, 3-151067713 ,  9541-12703 
297.63435,18.828972, 54-38642114 ,  9975-12701 
293.17842,48.422313,  7-17746129 ,  8670-12703 
120.311639354,26.3331764922,    1-163917 ,   8941-1902 
37.845,48.85753,     27-1037 ,   8037-3702 
199.59033,72.729042,   7-9445936 ,  8913-12702 
117.878145946,39.9958424565,     1-43896 ,   8713-6103 
206.665517192,34.2245412546,    1-409109 ,   8445-1902 
113.38736,4.585921,   7-2190078 ,  9531-12705 
261.178503045,53.8551421479,     1-24623 ,   9196-3701 
310.372774656,0.132255039507,    1-178790 ,   8623-3702 
116.110427262,29.2693961696,    1-604816 ,   8146-3702 
202.508845323,31.776693291,    1-420770 ,   8444-1902 
167.15437657,43.0042373453,    1-256002 ,  8258-12705 
270.09856,-9.0487247,     3-24698 ,  8638-12701 
131.381674782,53.9590028786,     1-47290 ,   8243-3704 
240.960024301,41.5218602856,    1-569216 ,  8313-12704 
116.771614003,30.9368164997,    1-152742 ,   8936-1901 
40.629535,60.81128,  7-24049812 ,   9542-6103 
291.87815,0.030722987,  7-17589140 ,   9126-6101 
147.604836276,44.0406378719,    1-167075 ,  8459-12704 
246.61102855,29.0149735651,    1-272470 ,   9025-3704 
320.71227,7.3521261,  3-96831908 ,  9119-12703 
313.79149,56.286852,  3-19005042 ,  9124-12704 
224.25536,21.245867,  7-11327163 ,  9010-12701 
204.82718,-0.09272,     4-20967 ,   8581-3701 
259.874577274,55.43295833,     1-25819 ,   7991-3701 
284.96846,-10.749891,  3-80099807 ,   9686-3701 
252.29291,-0.84894923, 3-142047949 ,  9009-12703 
191.10181,12.82911,     4-20296 ,   8268-6103 
82.777099,10.205244,  7-27086354 ,   8883-1901 
122.08452395,39.0236299957,    1-122284 ,   9183-6101 
241.50555,7.2509733, 3-141462029 ,   9807-3703 
142.32463,47.147538, 3-149060699 ,   9775-1902 
70.32185,25.525777,  3-25131275 ,   9288-9102 
289.15967,47.42384, 54-47914812 ,  9803-12704 
121.273000921,37.6255983907,    1-121973 ,   9485-6104 
67.059072,25.713219,  3-29283595 ,   9287-6103 
337.38583,50.74876,  7-21925710 ,   9535-6104 
115.28115,66.906933, 3-159114988 ,  9539-12703 
136.657756482,29.0692480115,    1-386847 ,  8987-12703 
11.636946,-11.679883, 3-106154043 ,  8659-12704 
197.803268306,49.4152615951,    1-234270 ,  8465-12703 
6.036982,69.4389,  7-24721459 ,  8700-12702 
229.445,2.075289,  7-12009785 ,   9017-1901 
123.265370207,24.5669929863,    1-298640 ,  9509-12701 
204.635804181,26.1347285111,    1-626822 ,   8983-3701 
195.2415771,26.9764481,        50-9 ,   8479-6102 
288.99719,-28.066058, 3-100754688 ,  9098-12701 
82.801913,-0.83864776,  3-52006150 ,   9475-1901 
272.02689,-8.2199405,  3-56515598 ,   8667-9101 
164.8642,47.526823, 3-140608451 ,  9804-12705 
121.807870048,40.2496203549,     1-72193 ,   9486-3703 
